=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.14 11:03:16 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
0.04,0.00,0.00,1698.96
0.17,23.22,82.51,-57.87
0.29,22.15,102.02,-57.83
0.41,22.16,102.02,-57.86
0.52,22.16,102.02,-57.84
0.64,22.17,102.02,-57.83
0.77,22.17,102.02,-57.81
0.89,22.18,102.02,-57.86
1.01,22.18,102.02,-57.87
1.13,22.18,102.02,-57.87
1.24,22.18,102.02,-57.87
1.37,22.19,102.02,-57.91
1.49,22.19,102.02,-57.89
1.61,22.19,102.02,-57.91
1.73,22.19,102.02,-57.84
1.84,22.19,102.02,-57.86
1.97,22.19,102.02,-57.85
2.09,22.19,102.02,-57.91
2.21,22.19,102.02,-57.88
2.33,22.19,102.02,-57.88
2.45,22.19,102.02,-57.88
2.57,22.19,102.02,-57.82
2.69,22.19,102.02,-57.82
2.81,22.19,102.02,-57.82
2.93,22.19,102.02,-57.88
3.05,22.19,102.02,-57.87
3.17,22.19,102.02,-57.83
3.29,22.19,102.02,-57.84
3.41,22.19,102.02,-57.88
3.53,22.19,102.02,-57.83
3.65,22.19,102.02,-57.83
3.78,22.19,102.02,-57.82
3.89,22.19,102.02,-57.75
4.01,22.19,102.02,-57.74
4.13,22.19,102.02,-57.71
4.25,22.19,102.02,-57.71
4.38,22.19,102.02,-57.73
4.49,22.19,102.02,-57.79
4.61,22.19,102.02,-57.82
4.73,22.19,102.02,-57.80
4.85,22.19,102.02,-57.88
4.98,22.19,102.02,-57.91
5.09,22.19,102.02,-57.95
5.21,22.19,102.02,-57.94
5.33,22.19,102.02,-57.92
5.45,22.19,102.02,-57.93
5.58,22.19,102.02,-57.91
5.70,22.19,102.02,-57.89
5.81,22.19,102.02,-57.89
5.93,22.19,102.02,-57.86
6.05,22.19,102.02,-57.82
6.18,22.19,102.02,-57.78
6.30,22.19,102.02,-57.86
6.41,22.19,102.02,-57.88
6.53,22.19,102.02,-57.86
6.65,22.19,102.02,-57.89
6.78,22.20,102.02,-57.84
6.90,22.20,102.02,-57.83
7.01,22.20,102.02,-57.82
7.13,22.20,102.02,-57.85
7.25,22.20,102.02,-57.88
7.38,22.20,102.02,-57.86
7.50,22.20,102.02,-57.86
7.61,22.20,102.02,-57.77
7.73,22.20,102.02,-57.79
7.85,22.20,102.02,-57.84
7.98,22.20,102.02,-57.90
8.10,22.20,102.02,-57.78
8.22,22.20,102.02,-57.83
8.33,22.20,102.02,-57.81
8.45,22.20,102.02,-57.87
8.58,22.20,102.02,-57.91
8.70,22.20,102.02,-57.87
8.82,22.20,102.02,-57.79
8.94,22.20,102.02,-57.77
9.05,22.20,102.02,-57.76
9.18,22.20,102.02,-57.82
9.30,22.20,102.02,-57.82
9.42,22.20,102.02,-57.83
9.54,22.20,102.02,-57.83
9.65,22.20,102.02,-57.85
9.78,22.20,102.02,-57.81
9.90,22.20,102.02,-57.81
10.02,22.20,102.02,-57.81
10.14,22.20,102.02,-57.78
10.26,22.20,102.02,-57.78
10.38,22.20,102.02,-57.81
10.50,22.20,102.02,-57.79
10.62,22.20,102.02,-57.82
10.74,22.20,102.02,-57.85
