Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
23.22,82.51,1740.46
23.72,101.78,3.86
23.73,101.78,3.83
23.73,101.78,3.78
23.74,101.78,3.81
23.74,101.78,3.86
23.75,101.78,3.81
23.75,101.78,3.87
23.75,101.78,3.83
23.75,101.78,3.89
23.76,101.78,3.88
23.76,101.78,3.86
23.76,101.78,3.90
23.76,101.78,3.87
23.76,101.78,3.87
23.76,101.78,3.86
23.76,101.78,3.82
23.76,101.78,3.78
23.76,101.78,3.76
23.76,101.78,3.78
23.76,101.78,3.83
23.76,101.78,3.83
23.76,101.78,3.89
23.76,101.78,3.87
23.76,101.78,3.92
23.76,101.78,3.87
23.76,101.78,3.84
23.76,101.78,3.87
23.76,101.78,3.84
23.76,101.78,3.84
23.76,101.78,3.90
23.76,101.78,3.89
23.76,101.78,3.86
23.76,101.78,3.85
23.76,101.78,3.88
23.76,101.78,3.89
23.76,101.78,3.91
23.76,101.78,3.91
23.76,101.78,3.87
23.76,101.78,3.82
23.76,101.78,3.81
23.76,101.78,3.82
23.76,101.78,3.78
23.76,101.78,3.83
23.76,101.78,3.87
23.76,101.78,3.85
23.76,101.78,3.88
23.76,101.78,3.85
23.76,101.78,4.02
23.76,101.78,3.98
23.76,101.78,3.97
23.76,101.78,3.98
23.76,101.78,4.01
23.76,101.78,3.98
23.76,101.78,3.94
23.76,101.78,3.96
23.76,101.78,3.95
23.76,101.78,4.00
23.76,101.78,3.97
23.76,101.78,3.92
23.76,101.78,3.84
23.77,101.78,3.88
23.77,101.78,3.86
23.77,101.78,3.85
23.77,101.78,3.85
23.77,101.78,3.88
23.77,101.78,3.88
23.77,101.78,3.79
23.77,101.78,3.82
23.77,101.78,3.81
23.77,101.78,3.86
23.77,101.78,3.88
23.77,101.78,3.88
23.77,101.78,3.82
23.77,101.78,3.75
23.77,101.78,3.83
23.77,101.78,3.84
23.77,101.78,3.86
23.77,101.78,3.84
23.77,101.78,3.85
23.77,101.78,3.85
23.77,101.78,3.76
23.77,101.78,3.72
23.77,101.78,3.66
23.77,101.78,3.75
23.77,101.78,3.85
23.77,101.78,3.92
23.77,101.78,3.95
23.77,101.78,4.01
23.77,101.78,3.97
23.77,101.78,3.98
23.77,101.78,3.93
